customer_id,age,gender,city,loyalty_segment,preferred_sales_channel,registration_date
1,50,Male,Sharjah,Silver,MobileApp,29 June 2024
2,20,Female,Abu Dhabi,Gold,Store,03 December 2024
3,55,Male,Dubai,Gold,Website,18 September 2023
4,25,Male,Abu Dhabi,Platinum,Store,02 January 2022
5,20,Female,Abu Dhabi,Silver,MobileApp,13 September 2021
6,30,Male,Dubai,Silver,Website,29 March 2025
7,45,Female,Abu Dhabi,Silver,MobileApp,16 March 2022
8,35,Female,Dubai,Silver,Store,20 September 2024
9,40,Male,Dubai,Platinum,Store,12 July 2025
10,35,Female,Sharjah,Silver,Website,11 March 2022
11,35,Male,Abu Dhabi,Silver,Amazon.ae,21 November 2022
12,40,Male,Sharjah,Silver,Store,24 January 2025
13,20,Female,Abu Dhabi,Silver,Store,04 November 2021
14,30,Male,Dubai,Silver,Store,24 August 2025
15,20,Female,Abu Dhabi,Silver,Website,24 January 2024
16,60,Female,Abu Dhabi,Silver,Store,13 February 2022
17,50,Female,Sharjah,Silver,MobileApp,06 April 2023
18,18,Male,Dubai,Platinum,Store,06 April 2024
19,35,Male,Sharjah,Silver,Store,28 March 2021
20,50,Female,Sharjah,Silver,Store,03 January 2021
21,20,Male,Abu Dhabi,Platinum,Website,07 January 2022
22,30,Male,Sharjah,Gold,Website,01 April 2025
23,50,Male,Dubai,Platinum,Store,04 October 2022
24,18,Male,Sharjah,Platinum,Amazon.ae,13 November 2023
25,35,Male,Abu Dhabi,Silver,Store,08 April 2021
26,25,Female,Dubai,Gold,MobileApp,01 November 2022
27,50,Female,Sharjah,Silver,Website,26 March 2025
28,55,Male,Dubai,Silver,Store,17 November 2021
29,50,Male,Dubai,Gold,MobileApp,18 June 2022
30,30,Male,Abu Dhabi,Silver,MobileApp,31 March 2023
31,45,Female,Dubai,Gold,Store,02 January 2022
32,40,Male,Dubai,Gold,Website,22 April 2024
33,25,Female,Sharjah,Silver,Store,21 February 2022
34,40,Male,Dubai,Gold,Website,30 December 2022
35,18,Female,Dubai,Silver,Store,22 May 2024
36,30,Male,Dubai,Silver,MobileApp,28 April 2023
37,20,Female,Dubai,Gold,Store,01 November 2022
38,20,Male,Abu Dhabi,Silver,Store,18 May 2024
39,18,Female,Abu Dhabi,Gold,Store,13 May 2021
40,35,Male,Sharjah,Silver,Store,22 February 2021
41,25,Female,Abu Dhabi,Silver,Website,11 January 2023
42,35,Female,Dubai,Gold,Store,26 November 2022
43,18,Male,Sharjah,Silver,MobileApp,23 January 2021
44,25,Female,Abu Dhabi,Silver,Store,04 February 2024
45,30,Female,Abu Dhabi,Silver,MobileApp,15 June 2025
46,40,Male,Abu Dhabi,Gold,Website,13 July 2025
47,25,Male,Sharjah,Silver,Noon,05 April 2022
48,35,Male,Abu Dhabi,Gold,Noon,12 October 2022
49,45,Female,Dubai,Silver,Amazon.ae,27 April 2022
50,35,Female,Abu Dhabi,Gold,MobileApp,30 April 2021
51,20,Male,Dubai,Platinum,Store,04 November 2022
52,18,Male,Dubai,Silver,MobileApp,27 July 2021
53,45,Female,Dubai,Silver,Noon,14 November 2021
54,18,Female,Dubai,Gold,Store,04 December 2021
55,45,Male,Dubai,Gold,Website,04 June 2021
56,30,Female,Dubai,Silver,Store,18 May 2023
57,50,Male,Abu Dhabi,Gold,Website,24 March 2024
58,40,Male,Sharjah,Gold,Website,29 January 2022
59,60,Female,Sharjah,Gold,Website,20 May 2022
60,25,Male,Dubai,Gold,Website,29 August 2023
61,40,Male,Abu Dhabi,Silver,Noon,09 November 2021
62,25,Male,Sharjah,Platinum,Website,06 July 2024
63,30,Female,Dubai,Silver,MobileApp,26 March 2024
64,35,Female,Abu Dhabi,Silver,Store,14 January 2021
65,45,Male,Abu Dhabi,Silver,Store,18 March 2021
66,60,Male,Dubai,Silver,Website,24 September 2024
67,40,Male,Sharjah,Silver,Store,13 February 2022
68,25,Female,Sharjah,Silver,Store,29 January 2022
69,25,Male,Dubai,Silver,Website,08 August 2021
70,35,Female,Dubai,Gold,Website,14 January 2023
71,20,Male,Dubai,Silver,Website,09 March 2022
72,20,Male,Dubai,Silver,Store,17 March 2023
73,25,Male,Abu Dhabi,Silver,Store,18 January 2025
74,25,Male,Abu Dhabi,Silver,Website,05 August 2025
75,25,Female,Dubai,Silver,Store,09 March 2024
76,20,Male,Sharjah,Silver,Store,15 September 2023
77,18,Male,Dubai,Platinum,Store,02 March 2025
78,18,Male,Dubai,Gold,Store,16 October 2022
79,60,Male,Dubai,Gold,Store,23 July 2025
80,25,Male,Abu Dhabi,Silver,Store,28 March 2023
81,25,Male,Dubai,Silver,Store,03 April 2025
82,35,Male,Dubai,Silver,Website,25 January 2023
83,20,Female,Dubai,Gold,Store,07 November 2022
84,50,Male,Sharjah,Silver,Store,12 April 2023
85,40,Male,Sharjah,Silver,Amazon.ae,25 January 2024
86,18,Female,Dubai,Silver,MobileApp,28 January 2021
87,25,Male,Dubai,Silver,Store,15 September 2023
88,45,Male,Abu Dhabi,Platinum,Amazon.ae,07 June 2024
89,50,Male,Abu Dhabi,Gold,Store,20 February 2022
90,30,Male,Dubai,Gold,Store,19 January 2025
91,35,Female,Sharjah,Silver,Noon,25 January 2021
92,20,Male,Abu Dhabi,Gold,Amazon.ae,07 September 2025
93,60,Female,Dubai,Gold,Website,28 November 2024
94,20,Male,Abu Dhabi,Platinum,Website,04 November 2022
95,50,Male,Sharjah,Silver,Website,26 June 2022
96,35,Female,Abu Dhabi,Silver,Store,14 June 2021
97,35,Male,Dubai,Gold,Store,27 July 2021
